runway_id,ident,runway_length,runway_surface
692,KGGG,6109.0,asphalt
693,KGGG,10000.0,asphalt
694,KGGW,5000.0,asphalt
695,KGGW,5001.0,asphalt
696,KGIC,5100.0,asphalt
697,KGIF,5006.0,asphalt
698,KGJT,5502.0,asphalt
699,KGJT,10501.0,asphalt
700,KGKJ,5002.0,asphalt
701,KGKT,5506.0,asphalt
702,KGLE,6000.0,asphalt
703,KGLH,8001.0,asphalt
704,KGLR,6578.0,asphalt
705,KGLW,5301.0,asphalt
706,KGMJ,5250.0,asphalt
707,KGMU,5393.0,asphalt
708,KGNB,5095.0,asphalt
709,KGNC,5376.0,asphalt
710,KGNF,5000.0,asphalt
711,KGNF,7000.0,asphalt
712,KGNT,7172.0,asphalt
713,KGNV,7504.0,asphalt
714,KGON,5000.0,asphalt
715,KGOV,5000.0,asphalt
716,KGPH,5504.0,asphalt
717,KGPI,9007.0,asphalt
718,KGPT,7000.0,asphalt
719,KGPZ,5755.0,asphalt
720,KGRD,5003.0,asphalt
721,KGRF,6125.0,asphalt
722,KGRI,7002.0,asphalt
723,KGRN,5196.0,asphalt
724,KGSH,5000.0,asphalt
725,KGSO,6380.0,asphalt
726,KGSO,9000.0,asphalt
727,KGSO,10001.0,asphalt
728,KGTF,6357.0,asphalt
729,KGTF,10502.0,asphalt
730,KGTR,8002.0,asphalt
731,KGTU,5000.0,asphalt
732,KGUC,9400.0,asphalt
733,KGUP,7316.0,asphalt
734,KGUY,5900.0,asphalt
735,KGVL,5500.0,asphalt
736,KGVQ,5500.0,asphalt
737,KGVT,8030.0,asphalt
738,KGWB,5000.0,asphalt
739,KGWO,5005.0,asphalt
740,KGWO,6503.0,asphalt
741,KGWR,5000.0,asphalt
742,KGWW,5500.0,asphalt
743,KGXY,5801.0,asphalt
744,KGXY,10000.0,asphalt
745,KGYI,8000.0,asphalt
746,KGYR,8500.0,asphalt
747,KGYY,7003.0,asphalt
748,KGZS,5001.0,asphalt
749,KH71,5000.0,asphalt
750,KHAB,5500.0,asphalt
751,KHAF,5000.0,asphalt
752,KHAO,5500.0,asphalt
753,KHBG,6099.0,asphalt
754,KHBI,5501.0,asphalt
755,KHBR,5293.0,asphalt
756,KHBR,5293.0,asphalt
757,KHBR,5507.0,asphalt
758,KHCR,6898.0,asphalt
759,KHDN,10000.0,asphalt
760,KHEE,5000.0,asphalt
